dataset,mode,fold,run_index,family_id,family_label,result_type,result_label,rmse_raw,rmse_model_space,standardized_targets,source,entry_id,entry_label
yacht,kfold,5,5,mlkr_knn,MLKR+kNN,baseline,MLKR+kNN,2.071427583694458,0.13129116594791412,True,baseline,mlkr_knn,MLKR+kNN
yacht,kfold,5,5,mlp,MLP,baseline,MLP,1.3635814189910889,0.08642648905515671,True,baseline,mlp,MLP
energy_efficiency,kfold,1,1,knn_x,kNN(X),baseline,kNN(X),2.245945930480957,0.22338207066059113,True,baseline,knn_x,kNN(X)
energy_efficiency,kfold,1,1,mlkr_knn,MLKR+kNN,baseline,MLKR+kNN,1.219167947769165,0.12125860154628754,True,baseline,mlkr_knn,MLKR+kNN
energy_efficiency,kfold,1,1,mlp,MLP,baseline,MLP,2.092294692993164,0.20809988677501678,True,baseline,mlp,MLP
energy_efficiency,kfold,2,2,knn_x,kNN(X),baseline,kNN(X),2.330366849899292,0.23082217574119568,True,baseline,knn_x,kNN(X)
energy_efficiency,kfold,2,2,mlkr_knn,MLKR+kNN,baseline,MLKR+kNN,0.9126507639884949,0.09039779007434845,True,baseline,mlkr_knn,MLKR+kNN
energy_efficiency,kfold,2,2,mlp,MLP,baseline,MLP,2.3882999420166016,0.2365604192018509,True,baseline,mlp,MLP
energy_efficiency,kfold,3,3,knn_x,kNN(X),baseline,kNN(X),2.3812673091888428,0.23768720030784607,True,baseline,knn_x,kNN(X)
energy_efficiency,kfold,3,3,mlkr_knn,MLKR+kNN,baseline,MLKR+kNN,0.8238135576248169,0.08222928643226624,True,baseline,mlkr_knn,MLKR+kNN
energy_efficiency,kfold,3,3,mlp,MLP,baseline,MLP,2.280042886734009,0.22758342325687408,True,baseline,mlp,MLP
energy_efficiency,kfold,4,4,knn_x,kNN(X),baseline,kNN(X),2.2592787742614746,0.22478699684143066,True,baseline,knn_x,kNN(X)
energy_efficiency,kfold,4,4,mlkr_knn,MLKR+kNN,baseline,MLKR+kNN,0.9553118944168091,0.09504877030849457,True,baseline,mlkr_knn,MLKR+kNN
energy_efficiency,kfold,4,4,mlp,MLP,baseline,MLP,1.9664716720581055,0.19565413892269135,True,baseline,mlp,MLP
energy_efficiency,kfold,5,5,knn_x,kNN(X),baseline,kNN(X),2.085770845413208,0.20394118130207062,True,baseline,knn_x,kNN(X)
energy_efficiency,kfold,5,5,mlkr_knn,MLKR+kNN,baseline,MLKR+kNN,1.2229559421539307,0.11957740783691406,True,baseline,mlkr_knn,MLKR+kNN
energy_efficiency,kfold,5,5,mlp,MLP,baseline,MLP,1.6521313190460205,0.16154102981090546,True,baseline,mlp,MLP
bike_sharing,kfold,1,1,knn_x,kNN(X),baseline,kNN(X),101.08898162841797,0.5547617673873901,True,baseline,knn_x,kNN(X)
bike_sharing,kfold,1,1,mlkr_knn,MLKR+kNN,baseline,MLKR+kNN,48.009098052978516,0.26346704363822937,True,baseline,mlkr_knn,MLKR+kNN
bike_sharing,kfold,1,1,mlp,MLP,baseline,MLP,43.89207077026367,0.24087339639663696,True,baseline,mlp,MLP
bike_sharing,kfold,2,2,knn_x,kNN(X),baseline,kNN(X),99.3612289428711,0.5464617013931274,True,baseline,knn_x,kNN(X)
bike_sharing,kfold,2,2,mlkr_knn,MLKR+kNN,baseline,MLKR+kNN,47.89045333862305,0.2633853852748871,True,baseline,mlkr_knn,MLKR+kNN
bike_sharing,kfold,2,2,mlp,MLP,baseline,MLP,41.61165237426758,0.22885358333587646,True,baseline,mlp,MLP
bike_sharing,kfold,3,3,knn_x,kNN(X),baseline,kNN(X),104.12908935546875,0.5720959901809692,True,baseline,knn_x,kNN(X)
bike_sharing,kfold,3,3,mlkr_knn,MLKR+kNN,baseline,MLKR+kNN,50.33420944213867,0.2765413522720337,True,baseline,mlkr_knn,MLKR+kNN
bike_sharing,kfold,3,3,mlp,MLP,baseline,MLP,45.05074691772461,0.24751348793506622,True,baseline,mlp,MLP
