dataset,mode,fold,run_index,family_id,family_label,result_type,result_label,rmse_raw,rmse_model_space,standardized_targets,source,entry_id,entry_label,resume_source
energy_efficiency,kfold,5,5,knn_x,kNN(X),baseline,kNN(X),2.0345780849456787,0.19967031478881836,True,baseline,knn_x,kNN(X),
energy_efficiency,kfold,5,5,mlkr_knn,MLKR+kNN,baseline,MLKR+kNN,1.6917903423309326,0.1660296618938446,True,baseline,mlkr_knn,MLKR+kNN,
energy_efficiency,kfold,5,5,mlp,MLP,baseline,MLP,1.9989713430404663,0.19617590308189392,True,baseline,mlp,MLP,
bike_sharing,kfold,1,1,knn_x,kNN(X),baseline,kNN(X),103.64434051513672,0.5718709826469421,True,baseline,knn_x,kNN(X),
bike_sharing,kfold,1,1,mlkr_knn,MLKR+kNN,baseline,MLKR+kNN,49.830345153808594,0.27494534850120544,True,baseline,mlkr_knn,MLKR+kNN,
bike_sharing,kfold,1,1,mlp,MLP,baseline,MLP,43.22663497924805,0.23850853741168976,True,baseline,mlp,MLP,
bike_sharing,kfold,2,2,knn_x,kNN(X),baseline,kNN(X),101.6275863647461,0.5607105493545532,True,baseline,knn_x,kNN(X),
bike_sharing,kfold,2,2,mlkr_knn,MLKR+kNN,baseline,MLKR+kNN,48.668251037597656,0.2685176730155945,True,baseline,mlkr_knn,MLKR+kNN,
bike_sharing,kfold,2,2,mlp,MLP,baseline,MLP,41.612403869628906,0.2295883744955063,True,baseline,mlp,MLP,
bike_sharing,kfold,3,3,knn_x,kNN(X),baseline,kNN(X),109.43013000488281,0.6070987582206726,True,baseline,knn_x,kNN(X),
bike_sharing,kfold,3,3,mlkr_knn,MLKR+kNN,baseline,MLKR+kNN,49.78239440917969,0.2761837840080261,True,baseline,mlkr_knn,MLKR+kNN,
bike_sharing,kfold,3,3,mlp,MLP,baseline,MLP,46.76778030395508,0.2594592571258545,True,baseline,mlp,MLP,
bike_sharing,kfold,4,4,knn_x,kNN(X),baseline,kNN(X),105.66360473632812,0.5815759301185608,True,baseline,knn_x,kNN(X),
bike_sharing,kfold,4,4,mlkr_knn,MLKR+kNN,baseline,MLKR+kNN,52.7983512878418,0.2906038761138916,True,baseline,mlkr_knn,MLKR+kNN,
bike_sharing,kfold,4,4,mlp,MLP,baseline,MLP,45.429073333740234,0.2500430941581726,True,baseline,mlp,MLP,
bike_sharing,kfold,5,5,knn_x,kNN(X),baseline,kNN(X),99.05899047851562,0.5427613854408264,True,baseline,knn_x,kNN(X),
bike_sharing,kfold,5,5,mlkr_knn,MLKR+kNN,baseline,MLKR+kNN,47.1742057800293,0.2584756910800934,True,baseline,mlkr_knn,MLKR+kNN,
bike_sharing,kfold,5,5,mlp,MLP,baseline,MLP,41.65461349487305,0.22823286056518555,True,baseline,mlp,MLP,
wine,kfold,1,1,knn_x,kNN(X),baseline,kNN(X),0.6343768239021301,0.7325549125671387,True,baseline,knn_x,kNN(X),
wine,kfold,1,1,mlkr_knn,MLKR+kNN,baseline,MLKR+kNN,0.6233583092689514,0.7198311686515808,True,baseline,mlkr_knn,MLKR+kNN,
wine,kfold,1,1,mlp,MLP,baseline,MLP,0.673549473285675,0.7777900099754333,True,baseline,mlp,MLP,
wine,kfold,2,2,knn_x,kNN(X),baseline,kNN(X),0.6389786005020142,0.7302066087722778,True,baseline,knn_x,kNN(X),
wine,kfold,2,2,mlkr_knn,MLKR+kNN,baseline,MLKR+kNN,0.6044040322303772,0.6906957626342773,True,baseline,mlkr_knn,MLKR+kNN,
